Symbol,Description,Price,Price - Currency,Pre-market Change %,Price Change % 1 day,Post-market Change %,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price * Volume (Turnover) 1 day,Price * Volume (Turnover) 1 day - Currency,Price * Volume (Turnover) 1 month,Price * Volume (Turnover) 1 month - Currency,Upcoming earnings date,"Net income growth %, Quarterly QoQ","Revenue growth %, Quarterly QoQ",Industry,Sector
PWR,"Quanta Services, Inc.",552.66,USD,0.15162454873646783,-0.24187725631769524,-0.1194224297036095,82688662032,USD,81.34530468060053,586748621.4599999,USD,9424208674.98,USD,2026-04-30,-7.0620470213894295,2.7588617985042867,Engineering & construction,Industrial services
REGN,"Regeneron Pharmaceuticals, Inc.",779.67,USD,,-0.34637899741813905,0.042325599292013405,82413188430,USD,18.758932309335794,479727052.65,USD,8496799998.48,USD,2026-04-30,-42.15068493150685,3.4626961084622967,Pharmaceuticals: major,Health technology
CMI,Cummins Inc.,593.28,USD,0,-0.6081318791777648,0.04550970873786102,81970811898.99998,USD,28.923697950945545,555021745.92,USD,10654819344,USD,2026-05-05,10.634328358208956,2.6331609955512807,Auto parts: OEM,Producer manufacturing
BK,The Bank of New York Mellon Corporation,118.19,USD,-1.8280297901150953,0.02538930264048844,0.04230476351636954,81342617233,USD,15.950282729861401,408128034.88,USD,6575827681.73,USD,2026-04-16,1.107266435986159,-2.6587034004431174,Investment banks/Brokers,Finance
DELL,Dell Technologies Inc.,122.27,USD,-1.3102637325718143,2.696119603561224,0.10632207409831493,81027056899,USD,16.307232691820378,949238009.66,USD,13411463358.789999,USD,2026-02-26,32.98969072164948,-9.654250876899951,Computer processing hardware,Electronic technology
CDNS,"Cadence Design Systems, Inc.",296.28,USD,-0.9103476179237293,-0.104521393169022,-0.22880383421087,80781038237,USD,73.02933201873304,750923437.68,USD,14612831509.319998,USD,2026-04-27,35.1815604516547,7.564470085253033,Packaged software,Technology services
B,Barrick Mining Corporation,47.96,USD,-0.4119464469618862,-1.2152420185375827,0.1342785654712242,80350280591.8866,USD,16.04800857464238,1083371029.84,USD,12178864177.92,USD,2026-05-06,89.76291828971067,46.724209779987355,Precious metals,Non-energy minerals
ORLY,"O'Reilly Automotive, Inc.",93.5,USD,,-0.7114792396729337,1.5508021390374362,78923730072,USD,31.553725701943844,526846694,USD,8819565711,USD,2026-04-29,-16.622629136956256,-6.192112707663224,Specialty stores,Retail trade
MSI,"Motorola Solutions, Inc.",462.76,USD,,2.0014106859460377,0.05402368398305817,76660316509,USD,36.27299591619179,668577600.36,USD,8551591004.88,USD,2026-04-30,15.480427046263346,12.329677633765371,Telecommunications equipment,Electronic technology
DASH,"DoorDash, Inc.",176.29,USD,-0.8286508882456485,0.056756910153808,0.17800215553917678,76608025563,USD,82.90148130731248,1368247157.47,USD,19340354743.19,USD,2026-04-30,-12.704918032786885,14.770748694138131,Air freight/Couriers,Transportation
ELV,"Elevance Health, Inc.",342.93,USD,,-1.5078407720144753,0,75686249542.00002,USD,13.657761422290195,387645328.56,USD,7365101094.33,USD,2026-04-22,-53.994953742640874,-1.900968231744592,Managed health care,Health services
TDG,Transdigm Group Inc.,1338.98,USD,,0.6653484997706922,0,75616971820,USD,43.04377736487138,292597926.54,USD,8983194057.34,USD,2026-05-12,-14.412416851441243,-6.2371768567911365,Aerospace & defense,Electronic technology
CI,The Cigna Group,280.31,USD,0.027979854504751003,-1.9620872971460595,0,74878039066,USD,12.634031793535824,544830698.32,USD,7685762987.07,USD,2026-05-01,-33.940042826552464,-79.70734084329406,Managed health care,Health services
