ticker,inst_pct,insider_pct,float_pct
SSYS,62.02,12.37,65.67
STAA,113.72,0.78,49.28
STLA,49.11,23.69,84.26
STLD,86.89,6.53,93.09
STRL,94.89,2.31,97.73
STX,91.27,0.24,99.7
SUPN,102.86,4.46,89.79
SWBI,58.9,2.34,96.9
SYM,74.38,13.84,87.61
SYNA,111.26,1.95,96.87
TDC,117.98,1.0,91.73
TDS,97.74,8.78,82.81
TE,68.18,14.59,69.71
TEAM,110.76,0.95,98.68
TECH,117.81,0.31,100.1
TECK,76.23,2.79,97.16
TEM,54.69,36.98,65.4
TENB,112.32,1.35,98.65
TER,98.21,0.26,99.79
TGT,87.36,0.26,99.69
TGTX,70.29,7.47,88.25
THC,98.13,1.1,95.82
TLN,109.0,1.44,75.54
TMC,14.43,47.05,56.02
TMDX,109.68,3.65,96.73
TMQ,41.72,18.54,61.88
TMUS,46.75,55.56,45.33
TNDM,117.85,0.97,91.81
TNGX,114.43,1.17,42.72
TOST,89.8,5.57,94.28
TSEM,74.82,0.54,99.18
TSLA,43.65,17.82,71.38
TSSI,47.1,5.5,76.04
TTD,88.94,2.3,97.9
TTMI,96.01,1.83,98.42
TVTX,114.05,0.8,93.54
TWLO,94.3,0.13,99.55
TWST,128.36,1.2,88.91
TXT,91.72,0.72,99.27
U,82.23,3.37,82.15
UAMY,60.15,8.58,87.92
UBER,86.04,0.45,99.42
UCTT,109.56,1.97,98.19
UEC,84.74,1.75,99.18
UI,4.76,93.01,6.96
ULTA,101.77,0.24,99.67
UPS,70.82,0.02,99.89
USAR,49.39,16.14,77.93
USNA,56.5,40.86,53.43
UUUU,72.6,1.23,99.14
VCYT,113.46,0.54,99.36
VEEV,89.7,8.58,91.67
VERA,110.61,0.78,72.37
VIAV,97.39,1.03,93.84
VICR,63.57,25.61,74.94
VIR,80.53,6.59,76.35
VIRT,92.87,5.3,94.44
VISN,100.01,3.25,95.26
VKTX,64.5,2.79,97.57
VMI,95.64,2.55,96.91
VNDA,78.81,6.65,89.53
VRDN,111.93,0.14,88.53
VRNS,99.35,2.98,96.95
VRTX,100.04,0.21,99.7
VSAT,99.86,5.44,98.27
VSH,94.22,1.83,88.34
VST,91.38,0.79,93.27
W,113.46,4.03,98.15
WBD,77.46,4.21,94.98
WDAY,110.09,2.14,99.05
WDFC,91.95,0.8,99.57
WGS,115.4,12.31,63.78
WIX,151.98,4.9,70.42
WOLF,112.0,0.5,54.36
WSM,98.92,1.12,98.7
WTW,100.36,0.26,99.51
WULF,85.39,22.93,77.1
WVE,82.68,15.88,46.83
XENE,107.52,0.12,93.89
XRX,70.16,16.06,91.06
YELP,116.58,6.4,96.77
YOU,98.87,7.49,87.18
Z,96.7,5.37,116.55
ZD,116.52,3.45,90.17
ZG,105.31,3.76,495.85
ZM,78.46,0.23,98.33
ZS,58.06,34.96,65.01
